A
A.B. =(=able body) | potocznie starszy marynarz
dognut (‘dognat) | wieszak rur wydobywczych (potocznie) 
dolomite (‘dolomajt) | dolomit
dolomitic limestone=(=dolostone) | wapieñ dolornityczny 
dome (doum) | kopu³a, daszek ochronny, ko³pak 
dolly | podwozie
dope (doup) | smar do przewodu wiertniczego, /dodatek, domieszka/
double acting pump (‘dabl ‘akting pamp) | pompa podwójnego dzia³ania
double bottom | dno podwójne (np. statku, zbiornika)
double stand | pas przewodu/ rur/ syfonówek 2 kawa³kowy
double stud adapter=(=DSA) | kryza redukcyjna ze szpilkami
downhole motor=(=turbodrill) | silnik wiertniczy wg³êbny (turbowiert)
downhole safety valve | wg³êbny zawór bezpieczeñstwa
down time | czas przestoju, przestój, czas niesprawnoœci urz¹dzenia
downward | opadaj¹cy, skierowany w dó³
downwind | z wiatrem
dowser | ró¿d¿karz, ró¿d¿ka
dowsing | ró¿d¿karstwo
dozer | spycharka, buldo¿er
draft marks | znaki zanurzenia (platformy, statku itp.) 
draft=(=draught) | g³êbokoœæ zanurzenia (np. platformy), /szkic projektu/


drafting | szkicowanie, projektowanie 
draftsman | kreœlarz
drag | przeci¹¿enie, opór, /wlec, ci¹gn¹æ/, si³y tarcia
drain hole | otwór spustowy, otwór œciekowy
draught=(=draft) | g³êbokoœæ zanurzenia statku, zanurzenie statku
draw | rysowaæ, /ci¹gn¹æ, wyci¹gaæ/
drawworks (‘dro³eks) | wyci¹g wiertniczy
drawworks. capacity | udŸwig wyci¹gu wiertniczego
dress | napawaæ œwider twardym stopem, regenerowaæ
dress a bit | przygotowaæ œwider do zapuszczania
dressing mill | frez do równania (frezowania) wierzchu urwanych rur
drift diameter gauge | szablon do rur
drift sand | lotny piasek
drift test | szablonowanie (np. rur, przewodu, syfonówek)
drill | wiert³o, œwider, /wiertarka/, wierciæ, /musztra, alarm szkoleniowy/
drillability of rock | zwiercalnoœæ ska³y
drill ahead | wierciæ/ kontynuowaæ wiercenie (okreœlenie raportowe)
drill barge | barka wiertnicza
drill collars (dryl ‘kolez)=(=DCs) | obci¹¿niki
driller (‘dryle) | wiertacz
driller’s console (drylez konsol) | konsola wiertacza
driller’s depth | g³êbokoœæ otworu wg miary przewodu wiertniczego
driller’s panel | pulpit wiertacza
driller’s position | stanowisko wiertacza
dri ler report | raport wiertacza
dri ler side=(=DS) | strona od wiertacza (do oznakowania elementów wiertni) 
drilling (‘dryling) | wiercenie
drilling assembly (‘dryling e’sembli) | zestaw przewodu wiertniczego (ca³oœæ)
drilling contract | umowa na wykonanie otworu
drilling contractor | wykonawca otworu na zlecenie
drilling crew (‘dryling kru) | za³oga wiertnicza
drilling department | dzia³ wierceñ
drilling engineer | in¿ynier wiertnik
drilling hose (‘dryling houz) | w¹¿ p³uczkowy
drilling line (‘dryling ³ajn) | lina wielokr¹¿kowa (wiertnicza)
drilling line work | praca liny wiertniczej (w tono-kilometrach lub tono-milach)
drilling line anchor (‘dryling ³ajn ‘anke) | ko³owrót (kotwica) martwego koñca liny
drilling line stand (‘dryling ³ajn stend) | stojak na linê wielokr¹¿kow¹
drilling macliine=(=drill, driller, borer, boring machine) | wiertarka
drilling mud (‘dryling mad) | p³uczka wiertnicza
drilling out the cement (‘dryling aut si’ment) | zwiercanie cementu
drilling platform | platforma wiertnicza
drilling rate=(=ROP) | prêdkoœæ (postêp) wiercenia
drilling record (‘dryling ‘rekod)~ dziennik wiertniczy
drilling report (‘dryling ri’pot) | raport wiertniczy
drilling rig | urz¹dzenie wiertnicze, wiertnia, platforma wiertnicza
drilling site=(=drilling location) | lokalizacja wiercenia (teren wiertni)
drilling spool (‘dryling spul) | wózek pod prewenterem z odprowadzeniami


drilling superintendent | kierownik wiertni
drilling tools (‘dryling tulz) | narzêdzia wiertnicze (ogólnie)
drilling tower (‘dryling ‘tale) | wie¿a wiertnicza
drilling unit | urz¹dzenie wiertnicze, wiertnica
drilling vessel =(=drillship) | statek wiertniczy
drilling water=(=drill water) | woda techniczna, woda do wiercenia
drill pipe=(=DP) | przewód wiertniczy
drill pipe grade E (dryl pajp grejd j) | przewód wiertniczy gatunek E
drill pipe grade G (d¿i), S (es) | przewód wiertniczy gatunek G, S
drill pipe inspection (dryl pajp in’spekszn) | badanie rur p³uczkowych
drill pipe pressure gauge (dryl pajp ‘presze gejd¿) | manometr ciœn. w przewodzie
drill pipe protector | ochraniacz (gwintu) rury p³uczkowej
drill pipe spinner (dry] pajp ‘spyne) | klucz do krêcenia przewodem
drill pipe stand | pas przewodu wiertniczego
drill pipe string (dryl pajp string) | zestaw przewodu do wiercenia
drill pipe wiper (dryl pajp ‘³ajpe) | wycieraczka rur p³uczkowych (do przewodu)
drillship=(=drilling vessel) | statek wiertniczy
drill-stem failure | awaria przewodu wiertniczego, urwanie siê przewodu
drinking water | woda pitna, woda zdatna do picia
drive (drajw) | napêd, /prowadziæ pojazd/, /wyrobisko górnicze/
drive a well (drajw e ³el) | wierciæ studniê
drive bushing | wk³ady do sto³u wiertniczego
drive bome (drajw boum) | wbijaæ do oporu
drive out | wyci¹gaæ, wybijaæ
drive pin (drajw pyn) | wbiæ bolec
drive pipe | konduktor, rura (kolumna) prowadnikowa
driver | kierowca
drop by drop (drop baj drop) | po kropli, kroplami
drum (dram) | bêbenek, bêben liny
drum brake (dram brejk) | hamulec taœmowy (bêbnowy)
dry dock | dok suchy
dry gas | gaz suchy (gaz bez gazoliny)
dry hole (draj houl) | otwór wiertniczy negatywny
DST)=(=drill stem test) | opróbowanie próbnikiem z³o¿a, /próbnik rurowy/
dual completion (‘djuel kem’piiszn) | uzbrojenie otworu w dwa pakery i dwie kolumny
rurek syfonowych celem eksploatacji dwóch horyzontów
dual shale shaker (‘djuel szejl ‘szejke) | podwójne sita wibracyjne
dull bit (dal byt) | zu¿yty œwider (stêpiony, u¿ywany)
dummy (‘dami) | makieta, atrapa
dummy whipstock | zestaw kontrolny | atrapa klina odchylaj¹cego
dummy Gyro | zestaw kontrolny | atrapa Gyro (zapuszczany kontrolnie przed
w³aœciwym zestawem celem sprawdzenia np. dro¿noœci)
dump (damp) | wyrzucaæ, spuszczaæ ciecz, wysypywaæ
dump pit | dó³ zrzutowy (urobkowy)
dump valve | zawór spustowy, zrzutowy, /zawór denny/
duplex pump (dapleks pamp) | pompa dwucylindrowa, /obustronnego dzia³ania/
durability | trwa³oœæ
duration (dju’rejszn) | czas trwania


dust (dast) | py³, kurz
dust-mask (dast-mask) | maska przeciwpy³owa 
dustproof | py³oszczelny
duty (‘djuti) | c³o, op³ata celna, podatek od nabycia, /warunki pracy, obci¹¿enie/ 
duty | obowi¹zek, powinnoœæ, /s³u¿ba: on duty | na s³u¿bie (w pracy)/
                                        off duty | po s³u¿bie (na wolnym)/ 
duty chart=(=duty roster) | rozk³ad zajêæ, plan pracy (s³u¿by) 
duty free (‘djuti fri) | wolny od op³aty celnej 
duty shift | szychta wed³ug rozk³adu
dynamie brake | hamulec dynamiczny (np. wyci¹gu wiertniczego) 
dynamie positioning | pozycjonowanie dynamiczne statku 
dynamie pressure | ciœnienie dynamiczne (kinetyczne, prêdkoœci) 
dynamie stationing | ustawianie dynamiczne statku 
dynamometer | dynamometr, /hamulec dynamometryczny/
E
ear protector | os³ona ucha (s³uchu), ochraniacz s³uchu
earnings | zarobki, dochody
earth connection=(=earthing) | uziemienie
earth surface | powierzchnia ziemi
earth (et) | ziemia, grunt, /uziom, zwarcie doziemne/
eddy brake=(=e!magco) | hamulec elektromagnetyczny wyci¹gu wiert.
eddy | wir, zawirowanie
edge (cd¿) | krawêdŸ, ostrze, brzeg (np. arkusza itp.) 
edge water line | kontur wodny z³o¿a 
edge water | woda konturowa
efficiency (e’fiszensi) | wspó³czynnik sprawnoœci, wydajnoœæ (np. maszyny itp.)
efficiency of pump | wspó³czynnik wydajnoœci pompy
efflux rock | ska³a wylewna, wulkaniczna
elastic strength | granica sprê¿ystoœci
elasticity | elastycznoœæ, sprê¿ystoœæ
elbow (‘elbou) | kolano, k¹townik
electrical engineer | in¿ynier elektryk
electrical logging | profilowanie elektiyczne
electric arc | ³uk elektryczny
electric arc welding=(=electric welding) | spawanie elektryczne
electric current | pr¹d elektryczny
electric drive | napêd elektryczny
electric torch=(=torch, flashlight) | latarka elektryczna
electrician (ylek’tryszn) | elektryk
electromotor=(=motor)-silnik elektryczny
electronic engineer | in¿ynier elektronik
elevation (ele’wejszn) | wyniesienie, wysokoœæ .
elevator (ele’wejte) | elewator, /dŸwig/, /winda/, /podnoœnik pionowy/ 
elevator links | zawiesia elewatora
elmageo (ePmagou) | hamulec elektromagnetyczny (np. wyci¹gu wiert.) 
elongation | wyd³u¿enie
embark | zaokrêtowaæ (pasa¿erów), wejœæ na statek
embarkation deck=(= lifeboat deck) | pok³ad dziobowy, ewakuacyjny


embarkation (emba’kejszn) | wsiadanie do ³odzi ratunkowych
emergency (i’medzensi) | sytuacja krytyczna, alarmowa, stan zagro¿enia
emergency exit (i’medzensi ‘ekzyt) | wyjœcie awaiyjne
emergency generator (Pmed¿ensi ‘d¿enerejte) | generator awaryjny
emergency lighting | oœwietlenie awaryjne
emergency plan | plan postêpowania awaryjnego, pian awaryjny
emergency shut down (i’medzensi szat daun) | wy³¹czenie awaryjne
emergency signal | sygna³ awaryjny
emergency switch | wy³¹cznik awaryjny
emery paper | papier œcierny szmerglowy
emitter | Ÿród³o (np. promieniowania)
empirical formula | wzór empiryczny (doœwiadczalny)
employee | pracownik, zatrudniony
employer | pracodawca
empty (‘emty) | pusty, pró¿ny, opró¿niaæ
emulsified oil | emulsja olejowa
emulsion mud | p³uczka emulsyjna
emulsifier | emulgator, œrodek emulguj¹cy
encroachment area | strefa zawodnienia zfo¿a
end cap (end kap) | zaœlepka
end pin (end pyn) | bolec
end to end=(=body to body) | na styk
endurance | trwa³oœæ, /zasiêg p³ywania/, /czas lotu/
engage (in’gejdz)  | po³¹czyæ siê (np, z pozostawionym w otworze przewodem)
engage | zaczepiæ, sprzêgaæ, w³¹czyæ sprzêg³o, /zatrudniæ, przyj¹æ do pracy/
engine (‘end¿in) | silnik spalinowy, /maszyna/
engine bed=(=engine cradle) | podstawa silnika spalinowego
engine failure (‘end¿in ‘fejlie) | awaria silnika spalinowego
engine housing (‘end¿in ‘hausing) | wiata maszynowa
engine lathe=(=lathe) | tokarka (uniwersalna)
engineless=(=motorless, unpowered) | bezsilnikowy, bez napêdu
engine room | si³ownia, maszynownia statkowa
engine support | fundament pod silnik
engineer (end¿y’nie) | in¿ynier, /technik/
engineering drawing | rysunek techniczny maszynowy
engineering geology | geologia in¿ynierska
engineering (endzy’niering) | in¿ynieria
engineering supervision | nadzór techniczny
enter (*ente) | wchodziæ, wprowadzaæ
enterprise (‘enteprajz) | przedsiêbiorstwo, /przedsiêwziêcie/ 
entrance (‘entrans) | wejœcie 
entrapped gas | gaz uwiêziony
environment (in’wajerenment) | œrodowisko, otoczenie
Eocene | eocen
equality (rkuolyti) | równoœæ
equalization of pressure | wyrównanie ciœnieñ
equalizer (‘ikuolajze) | wyrównywacz, urz¹dzenie wyrównawcze, /wahacz/ 
equalizing tank (ikuo’lajzing tenk) | zbiornik wyrównawczy


equalizing valve (ikuo’lajzing walw) | zawór wyrównawczy
equilibrium (ikui’librium) | równowaga
equipment (i’kuypment) | wyposa¿enie, sprzêt
equivalent | równowa¿ny, równorzêdny, równowartoœciowy
erosion | erozja, ¿³obienie
error (‘ere) | b³¹d, uchyb
error of calculation | b³¹d rachunkowy
error of measurement | b³¹d pomiaru
error probability | prawdopodobieñstwo b³êdu
eruption (i’rapszn) | erupcja, wybuch
eruptive rock | ska³a wylewna
escalation (eske’Iejszn) | wzrost, narastanie, wzmaganie siê 
escape capsule | kapsu³a ratunkowa
escape line | lina ratunkowa (lina wózka zjazdowego z mostka wie¿owego) 
escape route (i’skejp rut) | droga ewakuacyjna
escape (i’skejp) | ucieczka, /wylot, ujœcie/, /uchodzenie, ulatnianie siê/ 
establishment | za³o¿enie, /placówka/, stan liczebny za³ogi statku 
estimate | szacowaæ, przewidywaæ, /oznaczaæ/ 
ethane | etan
evaporation | parowanie, odparowywanie 
even figure | liczba parzysta 
exact (yg’zakt) | dok³adny, œcis³y
examine (yg’zemin) | badaæ, obserwowaæ, rozpatrywaæ sprawê
excavation | roboty ziemne, równanie terenu, /wykop/
excess | nadmiar, nadwy¿ka (np. przewodu na klocu)
excess pressure | nadciœnienie
execute a program(me) | wykonaæ program
exercises (‘eksesajzyz) | æwiczenia
exert influence | wywieraæ wp³yw
exert pressure | wywieraæ nacisk (ciœnienie)
exhalation (ekshe’lejszn) | wyziewy
exhaust (yg’zost) | wydech, spaliny, gazy spalinowe, wylot, wydmuch, /usuwaæ gazy/
exhaust box (yg’zost boks) | t³umik (np. silnika spalinowego)
exhaust fan | wentylator wyci¹gowy
exhaust pipe (yg’zost pajp) | rura wydechowa
exit (‘egzyt) | wyjœcie, wylot, wyjazd
expansion of gas (yk’spanszn o w gez) | rozprê¿anie siê gazu 
expenses (yk’spensyz) | wydatki, koszty, nak³ady 
expenditure | rozchód 
expert | ekspert
expertise=(=expert opinion) | ekspertyza
exploitation (eksploj’tejszn) | eksploatacja, wydobycie kopaliny, produkcja ropy 
exploitation well (eksploj’tejszn ³el) | odwiert eksploatacyjny 
exploration (eksplo’rejszn) | poszukiwanie, rozpoznawanie (z³ó¿) 
exploration well | otwór poszukiwawczy 
explosimeter | eksplozyraetr
explosion proof | przeciwwybuchowy (np. sprzêt, obudowa itp.) 
explosive (yk’slousyw) | materia³ wybuchowy, wybuchowy


explosive charge (yk’slousyw czadŸ) | ³adunek wybuchowy 
extension piston rod | przed³u¿acz trzona pompy p³uczkowej 
extension sub (yk’stenszn sab) | ³¹cznik przed³u¿aj¹cy (up. korpusu 
overshota)
exterior | strona zewnêtrzna 	 interior | wewnêtrzny, wnêtrze
external upset =(=EU) | spêczony na zewn¹trz (np. przewód)
external | zewnêtrzny 	internal | wewnêtrzny
external pressure | ciœnienie zewnêtrzne 
extinguish (yk’stynguysz) | gasiæ 
extinguisher (yk’stynguysze) | gaœnica p.po¿arowa 
extra (‘ekstra) | dodatkowy, dodatek, ekstra 
extrusive rock | ska³a wylewna, ska³a wulkaniczna 
eye (aj) | oko, oko (np. liny), ucho ig³y
eye splice (aj ‘splajs) | pêto zaplecione (zakute) na koñcu liny 
eyebolt (‘ajbolt) | œruba z oczkiem na koñcu
F
f/=from (from) | od 
fabrication | wyrób
face guard=(=face mask) | maska ochronna twarzy, maska spawalnicza 
face (fejs) | powierzchnia czo³owa 
factory | wytwórnia 
faikes | ³upek piaszczysty
failure (‘fejlie) | awaria, uszkodzenie, defekt, /pêkniêcie materia³u, zniszczenie/ 
failure-free (‘fejlie-fri) | bezusterkowy, bezawaryjny 
fair weather | dobra pogoda 
fairlead | kluza, prowadnica liny
fali (fol) | spadek, upadek, zmniejszanie siê, /lina wci¹garki ³odzi/ 
false alarm | fa³szywy alarm 
fan (fen) | wentylator
fast line (fast ³ajn) | ruchoma lina olinowania wie¿y/ masztu wiertniczego
fatigue break | zmêczeniowe urwanie (np. liny, przewodu)
fatigue strength | wytrzyma³oœæ zmêczeniowa
faulty=(=defective) | wadliwy
fee (fi) | op³ata, zap³ata, honorarium
feed lever (fid lewe) | dŸwignia popuszczania (laga)
feed off (fid of) | popuszczanie przewodu
feed pump (fid pamp) | pompa zasilaj¹ca, podaj¹ca
feed water (fid ‘iote) | woda zasilaj¹ca (np. z³o¿e)
feed (fid) | zasilanie (np. w paliwo, wodê itp.), podawanie, /posuw/
feeder-box (‘fide boks) | skrzynka elektryczna przy³¹czowa
felt (felt) | filc, pilœñ, woj³ok
female cone (‘fimejl koun) | sto¿ek wewnêtrzny (potocznie samica)
fermentation (femen’tejszn) | fermentacja (np. p³uczki)
ferry boat=(=ferry) | prom
field-(-oil field) | pole, (pole naftowe)
field laboratory | laboratorium poiowe
file (faji) | pilnik, /kartoteka/, /segregator/ /plik/
fillet weld | spoina pachwinowa
film water=(=adhesive water, connate water, interstitial water) | woda adhezyjna


fill up well (fyl ap Je!) | nape³niæ otwór p³uczk¹ do wierzchu
fi II-up collar | ³¹cznik zapewniaj¹cy sam o zape³nianie siê rur ok³adzinowych
fill-up line | ruroci¹g do nape³niania (zalewania) rur ok³adzinowych
fill-up shoe | bul rur zapewniaj¹cy samo zape³nianie siê rur ok³adzinowych
filter loss (‘fylte los)=(=watcr loss=w.L) (³ote los) | filtracja p³uczki
filter press {‘fylte pres) | prasa filtracyjna
filtrate | filtrat (np. p³uczki), przes¹cz, filtrowaæ, cedziæ
final (‘fajni) | koñcowy (np. produkt, wynik, ciœnienie itp.)
final pressure | ciœnienie koñcowe (np. próby hydraulicznej)
find (faind) | znaleŸæ, odkryæ, wykryæ, odkrycie, znalezisko
find application=(-fmd use) | znajdowaæ zastosowanie
fine (fajn) | kara pieniê¿na, grzywna, /drobny, mia³ki/, /czysty, oczyszczony/
fine control=(=fine adjustment) | p³ynna, precyzyjna regulacja (dok³adna)
fine grained | drobnoziarnisty
fine sand (fajn send) | piasek drobnoziarnisty
fine thread (fajn tred) | gwint drobnozwojowy
fingerboards | palce mostka wie¿owego do mocowania pasów
finish (‘fynysz) | koniec, koñczyæ, ukoñczyæ, wykoñczenie
fire (‘faje) | po¿ar, ogieñ, /strzelanie z broni palnej/, zapalaæ, podpalaæ
fire alarm (‘faje a’lam) | alarm po¿arowy
fire anchor (‘faje ‘anke) | bosak po¿arniczy
fire blanket (‘faje ‘blankit) | koc p.po¿arowy (ratunkowy)
fire-boat | siatek po¿arniczy
fire-brigade=(=fire team) | stra¿ po¿arna
fire detector (‘faje di’tekte) | czujnik przeciwpo¿arowy
fire door (‘faje do) | drzwi po¿arowe
fire drill (‘faje dryl) | æwiczenia przeciwpo¿arowe, æwiczebny alarm p.po¿arowy
fire escape (‘faje i’skejp) | wyjœcie po¿arowe, wyjœcie zapasowe
fire extinguisher (‘faje yk’stynguysze)=(=extinguisher) | gaœnica
fire fighting (‘faje ‘fajting) | akcja przeciwpo¿arowa, zwalczanie po¿arów
fire fighting equipment | sprzêt przeciwpo¿arowy
fire foam | piana przeciwpo¿arowa (gaœnicza)
fire hazard | niebezpieczeñstwo po¿aru
firehose (‘fajehouz) | w¹¿ stra¿acki
fire ladder | drabina stra¿acka
fireman | stra¿ak, /palacz kot³owy/
fire preventing | œrodki przeciwpo¿arowe
fireproof=(=fire-resisting) | ognioodporny, ogniotrwa³y
fire protection | ochrona przeciwpo¿arowa
fire pump | pompa po¿arnicza
fire team (‘faje tim) | stra¿ po¿arna (brygada po¿arnicza)
fire the gun | odpalaæ (np. perforator)
fire wall | œciana przeciwpo¿arowa
firing head | g³owica odpalaj¹ca perforatora (zapalnik)
firm (fem) | firma, /zwiêz³y, mocny, zwarty/
first aid (fest ejd) | pierwsza pomoc
first time (fest tajm) | pierwszy raz
first-aid kit (fest ejd kit) | apteczka podrêczna


fish (fysz) | ryba, /przedmiot pozostawiony w otworze (mimowolnie)/
fish up (fysz ap) | wyinstrumentowaæ
fishing (‘fyszing) | instrumentacja
fishing job (‘fyszing d¿ob)~ prace instrumentacyjne
fishing magnet (‘fyszing ‘raagnyt) | korona magnesowa
fishing tap (‘fyszing tep) | gwintownik instrumentacyjny
fishing tools (‘fyszing tulz) | narzêdzia instrumentacyjne
fit (fyt) | pasowanie, pasowaæ, wyposa¿aæ
fitter | monter (na statku)
fitting (‘fyting) | dopasowanie, monta¿, /oprawa oœwietleniowa/ 
fittings | armatura, osprzêt, wyposa¿enie
fix (fyx) | umocowaæ, za³o¿yæ, zamocowaæ, /ustalone po³o¿enie statku/
fixed allowance | dodatek sta³y (np. do pensji)
fixed bearing | podpora sta³a
fixed costs | koszty sta³e
fixed date | termin ustalony
fixed platform | platforma (np. wiertnicza, produkcyjna) stacjonarna
fixed point | punkt sta³y
fixed pulley | kr¹¿ek sta³y
fixing | mocowanie, unieruchamianie, ustalanie'
fix up (fyx ap) | zorganizowaæ (coœ), za³atwiæ (coœ)
flag | flaga, bandera, /oznakowanie (np. liny ³y¿kowej)/
flag of convenience | tania bandera
flame cutting | ciêcie gazowe
flame detector | wykrywacz p³omienia
flame-cutting torch | palnik do ciêcia gazowego
flameproof | ognioodporny
flammable | ³atwopalny (materia³)
flange connection | po³¹czenie ko³nierzowe, po³¹czenie kryzowe 
flange groove (fiend¿ gruw) | rowek na pierœcieñ 
flange (flcnd¿) | kryza, ko³nierz 
flange size (fiend¿ sajz) | rozmiar kryzy 
flapper valve=(=flap valve) | zawór klapowy
flare (fle) | spalaæ gaz w pochodni, pochodnia do spalania (gazu, ropy), rozb³ysk 
flare line (fle ³ajn) | ruroci¹g z manifoldu do spalania (do do³u do spalania) 
flare pistol | rakietnica
flare pit (fle pyt) | dó³ do spalania ropy (na wylocie z ruroci¹gu do spalania) 
flare platform | ptatfonna do spalania gazu lub ropy 
flare stack (fle stak) | pochodnia do spalania gazu 
flash point | temperatura zap³onu
flashlight (‘fleszlajt)=(=flash-lamp, torch) | latarka kieszonkowa
flat (fiat) | powierzchnia p³aska, p³ask, p³askie œciêcie, /równina/, /równaæ/
flat calm | zupe³na cisza (na morzu)
flat file | pilnik p³aski
flaw | wada materia³owa
flexible (‘fleksybl) | giêtki, elastyczny (w¹¿)
flexible joint (‘fleksybl d¿ojnt) | po³¹czenie elastyczne
flexible shaft (‘fleksybl szaft) | wa³ giêtki


flexure | zgiêcie, wygiêcie, ugiêcie 
flint | krzemieñ, /'kamieñ, g³az/
float (flout) | p³ywak, p³ywaæ, unosiæ siê na powierzchni cieczy 
floatel | barka hotelowa
float shoe (flo³t szu) | bul do rur z zaworem kulowym (p³ywakowym) 
float valve | zawór p³ywakowy
flood water | woda zat³aczana do odwiertu (do z³o¿a)
flooding | zawadnianie z³o¿a celem intensyfikacji wydobycia
floor man=(=roughneck, =floorman) | pomocnik otworowy wiertacza
floor | pod³oga, /piêtro, kondygnacja/, /sp¹g/, /strop górniczy/, /dennik/
flow (flou) | przep³yw, ruch p³ynu, p³yn¹æ, /przewód rurowy/
flow capacity | przepustowoœæ
flow check (flou czek) | kontrola przyp³ywu z otworu (wizualna) 
flow in (flou yn) | wp³ywaæ, dop³ywaæ
flow indicator | wskaŸnik natê¿enia przep³ywu (np. p³uczki z otworu)
flow line (flou ³ajn) | Mira odlewowa, ci¹g koryt p³uczkowych/
flow line | ruroci¹g lub w¹¿ produkcyjny (np. do przesy³u ropy)
flow line dresser (flou ³ajn ‘dresc) | krótki ³¹cznik z uszczelnieniem gumowym
flow meter (flou 4mite) | przep³ywomierz
flow out (flou aut) | wyp³ywaæ, odp³ywaæ
flow over (flou ouwe) | przelewaæ siê
flow rate (flou rejt) | wydajnoœæ przep³ywu, natê¿enie przep³ywu 
flow round | op³ywaæ
flow test=(=production test) | eksploatacja próbna (np. ropy, gazu itp.)
flow through | przep³ywaæ
fluent | p³ynny (sposób pracy, mowy itp.)
fluid (fluid) | p³yn, p³ynny
fluid level | poziom p³ynu
flume pipe (flum pajp) | pionowa rura zrzutu urobku z platformy wiert. do morza 
flush away (flasz e’uej) | zmyæ, sp³ukaæ
flushing | przep³ukiwanie strumieniem cieczy, zmywanie strumieniem 
foam (foum)-piana, pieniæ siê
foam extinguisher (foum yk’ stynglysze) | gaœnica pianowa 
foaming agent=(=foamer) | œrodek pianotwórczy 
fog horn (fog hon) | róg mg³owy
fog light | reflektor przeciwmg³owy (œwiat³o przeciwmg³owe) 
fog (fog) | mg³a
follow instructions | postêpowaæ zgodnie ze wskazówkami (instrukcj¹) 
follow me! (‘folou mi) | pod¹¿aj (idŸ, jedŸ) za mn¹! 
following | kolejny, nastêpny 
following wind | wiatr z rufy
food rations | racje ¿ywnoœciowe, ¿ywnoœæ szalupowa
foolproof | potocznie zabezpieczony przed niew³aœciw¹ obs³ug¹ (niepo¿¹dan¹) 
foot control | peda³ steruj¹cy
foot valve (fut wal w) | zawór stopowy (najczêœciej na ruroci¹gach ss¹cych) 
foot (fut)=(=ft) | stopa (jednostka miary | 1 ft-0,3048 m.) 
footage contract | kontrakt p³atny wg iloœci odwierconych stóp 
footage (‘futyd¿) | iloœæ odwierconych stóp, op³ata za odwiercon¹ stopê


force of gravity | si³a ciê¿koœci 
forced circulation | obieg wymuszony 
forcing pressure | ciœnienie t³oczenia 
fore (fo) | przód statku
forecast (‘fokast) | prognoza, przewidywanie
forecastle | pok³ad dziobówki, kubryk, nadbudówka dziobowa
foredesign | projekt wstêpny
foreman (‘fomen) | brygadzista, majster
forest=(=wood) | las
forklift (foklift)=(=fork-lift, fork-lift truck) | wózek wid³owy (wid³ak) 
formation (fo’mejszn) | warstwa, formacja 
formation dip | upad pok³adu geologicznego
formation pressure (fo’mejszn ‘presze)=(=reservoir pressure) | ciœnienie z³o¿owe 
formation fracture pressure=(=formation strength) | ciœnienie rozszczelino wania pok³adu 
formation top | strop pok³adu geologicznego
formation water (fo’mejszyn ‘³ote)=(=brine water, brine) | woda z³o¿owa
formie acid | kwas mrówkowy
fortnight (‘fotnajt) | dwa tygodnie
fortnightly (‘fotnajtli) | dwutygodniowy
fossil (‘fosyl) | skamienia³oœci
foul bottom (faul ‘botm) | dno statku obroœniête
foul weather (faul ‘³ede) | pogoda z³a
fouled oil (faul ojl) | olej zu¿yty
fouling | zanieczyszczenie, /obrastanie dna statku/
foundation plate=(=base plate) | p³yta fundamentowa
fourble stand=(=fourbie) | pas przewodu/ rur/ syfonówek 4 kawa³kowy
fracture (‘frakcze) | pêkniêcie, z³amanie, prze³om, prze³am, ³amaæ, pêkaæ
fracture acidizing | kwasowanie po³¹czone ze szczelinowaniem
fracture gradient | gradient szczelinowania
fracturing fluid ("frakczering fluid) | ciecz szczelinuj¹ca
fracturing (‘frakczering)=(=hydrofrac, frac) | szczelinowanie hydrauliczne
fragile (‘fred¿ajl) | kruchy, ³amliwy
frame (frejm) | rama, ramownica, szkielet, /wrêg/, /kad³ub, korpus/
free fall | spadanie swobodne
free (fri) | wolny, swobodny, /bezp³atny/
freeboard deck | pok³ad wolnej burty statku, pok³ad grodziowy
freeboard | wolna burta, wysokoœæ konstrukcji nadwodnej
freeze (friz) | ipotocznie przychwycenie przewodu, kolumny wiertniczej itp./
freeze (friz) | krzepn¹æ, zamarzaæ, marzn¹æ, zamra¿aæ
freeze hole | otwór mro¿eniowy
freeze point (friz point) | punkt przychwycenia (np. przewodu, rur itp.)
freezeproof (‘frizpruf) | mrozoodpomy
freight | fracht, op³ata za przewóz
frequency | czêstotliwoœæ
fresh water (fresz ‘lote) | woda s³odka
friable | kruchy
friction (‘frykszn) | tarcie
friction bearing (‘frykszn ‘bering) | ³o¿ysko œlizgowe


friction brake (‘frykszn brejk) | hamulec cierny 
friction clutch (‘frykszn klacz) | sprzêg³o cierne
friction lining (‘frykszn ‘lajning) | ok³adzina cierna (np. hamulca, sprzêg³a) 
frictional resistance=(=drag) | opór tarcia 
front | przód, czo³o, /fasada/, /front atmosferyczny/ 
frosting | oszronienie
frozen | zablokowany, przychwycony, zaklinowany (np. przewód wiertniczy) 
fuel (‘fjuel) | paiiwo, zaopatrywaæ w paliwo, tankowaæ, uzupe³niaæ paliwo 
fuel bunker=(=fuel tank) | zbiornik paliwa 
fuel consumption | zu¿ycie paliwa
fuel feed (‘fjuel fid) | zasilanie paliwem, dostarczanie paliwa 
fuel pump | pompa paliwowa
full ga(u)ge stabilizer | stabilizator o œrednicy nominalnej otworu (œwidra) 
full load (ful loud) | pe³ne obci¹¿enie
fuli return (ful ri’ten) | cyrkulacja bez ucieczki p³uczki (pe³ny powrót)
full size (ful sajz) | naturalnej wielkoœci
full-size scale | skala (rysunku) 1:1
